==============================================================================
TABELAS DE GLIFOS ENCONTRADAS: 16
==============================================================================
  TABELA        GLIFOS  BPP         FIM  BLOB(bytes)    BASE EST.  DIMENSOES
  0x000001CC      45    1  0x0000049C            0   0x000001CC  0x0(45)
  0x00001318      24    1  0x00001498            0   0x00001318  0x0(24)
  0x0000C94C     108    1  0x0000D00C            0   0x0000C94C  0x0(107), 3x0(1)
  0x0000D03C     252    1  0x0000DFFC            0   0x0000D03C  0x0(252)
  0x0000E19C      45    1  0x0000E46C            0   0x0000E19C  0x0(45)
  0x0000F220      37    1  0x0000F470            0   0x0000F220  0x0(37)
  0x00018A90    8350    1  0x00039470            0   0x00018A90  0x0(8350)
  0x000472FC     211    1  0x0004802C            0   0x000472FC  0x0(211)
  0x0004FF94      31    1  0x00050184            0   0x0004FF94  0x0(31)
  0x00086C34    7099    1  0x000A27E4       164946   0x0005E7E2  16x12(6402), 16x11(368), 8x9(90)
  0x000A6568      24    4  0x000A66E8         1527   0x000A5F71  12x11(10), 12x9(2), 10x11(2)
  0x000BE720     675    4  0x000C1150        55644   0x000B0DC4  12x12(119), 14x14(87), 14x12(54)
  0x000CC8E4      87    1  0x000CCE54            0   0x000CC8E4  0x0(87)
  0x000CDA6C      46    1  0x000CDD4C            0   0x000CDA6C  0x0(46)
  0x001A0570     169    1  0x001A1000            0   0x001A0570  0x0(169)
  0x001A1010      63    1  0x001A1400            0   0x001A1010  0x0(63)
